annotator	candidate_id	clip_id	shared_overlap
galya	cand_01c61e5c7fe1	D2_S20260520151119_E20260520151519_anon	true
galya	cand_0662fd106600	D2_S20260523104347_E20260523104753_anon	true
galya	cand_0718718fdc22	D2_S20260522151152_E20260522151804_anon	true
galya	cand_0786ab5cf6c5	D2_S20260521112037_E20260521112553_anon	true
galya	cand_0b5b1ea3711a	D2_S20260521140835_E20260521141129_anon	true
galya	cand_0c6750d64ade	D2_S20260520171509_E20260520171843_anon	false
galya	cand_10120b87a453	D2_S20260521133647_E20260521134049_anon	false
galya	cand_10b127ad3e80	D2_S20260520151119_E20260520151519_anon	false
galya	cand_113592415f17	D2_S20260526184718_E20260526184922_anon	false
galya	cand_135b131d09fb	D2_S20260526185126_E20260526185806_anon	false
galya	cand_13f8293e5576	D2_S20260526162956_E20260526163416_anon	false
galya	cand_1492062bc24a	D2_S20260522010204_E20260522010734_anon	false
galya	cand_16cee0cca921	D2_S20260521172245_E20260521172449_anon	false
galya	cand_1a867db5f36a	D2_S20260526153840_E20260526154202_anon	false
galya	cand_1b0fca8894ed	D2_S20260523104347_E20260523104753_anon	false
galya	cand_1e92ae71a29e	D2_S20260521112037_E20260521112553_anon	false
galya	cand_1f7244c267d4	D2_S20260520141225_E20260520141509_anon	false
galya	cand_1f9594d0b117	D2_S20260522151152_E20260522151804_anon	false
galya	cand_2a4eff0c8c52	D2_S20260520151119_E20260520151519_anon	false
galya	cand_2c709976b309	D2_S20260523105657_E20260523110017_anon	false
galya	cand_30d62d132f87	D2_S20260526192124_E20260526192522_anon	false
galya	cand_319262dbc237	D2_S20260520171509_E20260520171843_anon	false
galya	cand_325761186071	D2_S20260526201630_E20260526201736_anon	false
galya	cand_326a40f32e81	D2_S20260520141725_E20260520142151_anon	false
galya	cand_33ed94ec7042	D2_S20260523104347_E20260523104753_anon	false
galya	cand_36ff8e1200bd	D2_S20260521225257_E20260521225547_anon	false
galya	cand_38d950cba625	D2_S20260520171509_E20260520171843_anon	false
galya	cand_3a43c8e360b8	D2_S20260521133647_E20260521134049_anon	false
galya	cand_3bc22822df71	D2_S20260522151152_E20260522151804_anon	false
galya	cand_3efbcdcc279b	D2_S20260523102833_E20260523103217_anon	false
galya	cand_405eb10e54a2	D2_S20260526155844_E20260526160148_anon	false
galya	cand_462ef0b84280	D2_S20260522132934_E20260522133448_anon	false
galya	cand_465e67b8b7f5	D2_S20260522151152_E20260522151804_anon	false
galya	cand_4682d07af906	D2_S20260520171509_E20260520171843_anon	false
galya	cand_47473d2b1f0d	D2_S20260526185126_E20260526185806_anon	false
galya	cand_4823dc3be530	D2_S20260521133647_E20260521134049_anon	false
galya	cand_49b232b8b66f	D2_S20260523104347_E20260523104753_anon	false
galya	cand_4a4adfc7dd20	D2_S20260522151810_E20260522152016_anon	false
galya	cand_4ae07ec74e69	D2_S20260521112037_E20260521112553_anon	false
galya	cand_4b43955817f4	D2_S20260526155150_E20260526155432_anon	false
marieta	cand_01c61e5c7fe1	D2_S20260520151119_E20260520151519_anon	true
marieta	cand_0662fd106600	D2_S20260523104347_E20260523104753_anon	true
marieta	cand_0718718fdc22	D2_S20260522151152_E20260522151804_anon	true
marieta	cand_0786ab5cf6c5	D2_S20260521112037_E20260521112553_anon	true
marieta	cand_0b5b1ea3711a	D2_S20260521140835_E20260521141129_anon	true
marieta	cand_4be6d4e2cd70	D2_S20260526201736_E20260526201856_anon	false
marieta	cand_4def93b8283b	D2_S20260520171509_E20260520171843_anon	false
marieta	cand_5062f9241ee5	D2_S20260523101833_E20260523102129_anon	false
marieta	cand_548a780cc651	D2_S20260521112037_E20260521112553_anon	false
marieta	cand_558c49fcd919	D2_S20260522151152_E20260522151804_anon	false
marieta	cand_5a050adf25a0	D2_S20260522132934_E20260522133448_anon	false
marieta	cand_5b2d531a5d9c	D2_S20260523104347_E20260523104753_anon	false
marieta	cand_5f4a3f52ca9b	D2_S20260521133647_E20260521134049_anon	false
marieta	cand_5fef3966acba	D2_S20260526192124_E20260526192522_anon	false
marieta	cand_60a683d58a7f	D2_S20260520140905_E20260520141207_anon	false
marieta	cand_61c065a26d23	D2_S20260520135131_E20260520135549_anon	false
marieta	cand_620418d5381e	D2_S20260526123358_E20260526123814_anon	false
marieta	cand_64b975d1f236	D2_S20260520143523_E20260520143803_anon	false
marieta	cand_65892ff8db99	D2_S20260520151119_E20260520151519_anon	false
marieta	cand_693d60f37d87	D2_S20260521070815_E20260521071035_anon	false
marieta	cand_6c1fb6ac683d	D2_S20260520151119_E20260520151519_anon	false
marieta	cand_6f82323ff14d	D2_S20260520140905_E20260520141207_anon	false
marieta	cand_71ab006699a6	D2_S20260520141725_E20260520142151_anon	false
marieta	cand_71f36db7e719	D2_S20260522010204_E20260522010734_anon	false
marieta	cand_724e88026f13	D2_S20260522181742_E20260522182146_anon	false
marieta	cand_742effef32a9	D2_S20260520151119_E20260520151519_anon	false
marieta	cand_7587463b14ce	D2_S20260522181742_E20260522182146_anon	false
marieta	cand_792545a87fb1	D2_S20260521100509_E20260521100739_anon	false
marieta	cand_7a52ee5be3a3	D2_S20260526162718_E20260526162938_anon	false
marieta	cand_7be4adf2c2c8	D2_S20260520140905_E20260520141207_anon	false
marieta	cand_7c8cad6c9a27	D2_S20260526192124_E20260526192522_anon	false
marieta	cand_7cfb3d1b3947	D2_S20260520142359_E20260520142613_anon	false
marieta	cand_7d7db5d21f7c	D2_S20260523105427_E20260523105637_anon	false
marieta	cand_7db08fbd6268	D2_S20260526123358_E20260526123814_anon	false
marieta	cand_7fe5e90dcae1	D2_S20260526162956_E20260526163416_anon	false
marieta	cand_8063df509256	D2_S20260522181742_E20260522182146_anon	false
marieta	cand_810bd81dc34f	D2_S20260526153840_E20260526154202_anon	false
marieta	cand_823fa7e96e49	D2_S20260523104347_E20260523104753_anon	false
marieta	cand_8260315ef398	D2_S20260520171509_E20260520171843_anon	false
marieta	cand_840c3375a1ad	D2_S20260523102833_E20260523103217_anon	false
todor	cand_01c61e5c7fe1	D2_S20260520151119_E20260520151519_anon	true
todor	cand_0662fd106600	D2_S20260523104347_E20260523104753_anon	true
todor	cand_0718718fdc22	D2_S20260522151152_E20260522151804_anon	true
todor	cand_0786ab5cf6c5	D2_S20260521112037_E20260521112553_anon	true
todor	cand_0b5b1ea3711a	D2_S20260521140835_E20260521141129_anon	true
todor	cand_853090e49519	D2_S20260523094047_E20260523094221_anon	false
todor	cand_876b0be4684c	D2_S20260526162956_E20260526163416_anon	false
todor	cand_878fffea0985	D2_S20260522151152_E20260522151804_anon	false
todor	cand_8a6963ab7d67	D2_S20260523101833_E20260523102129_anon	false
todor	cand_8aa9e15d4a7b	D2_S20260521135201_E20260521135601_anon	false
todor	cand_8afe9857b5f2	D2_S20260520171509_E20260520171843_anon	false
todor	cand_8c0701161c55	D2_S20260520151119_E20260520151519_anon	false
todor	cand_8dc1f5c3dd43	D2_S20260520143523_E20260520143803_anon	false
todor	cand_923bde6a918a	D2_S20260526185126_E20260526185806_anon	false
todor	cand_9449f36a3039	D2_S20260520171509_E20260520171843_anon	false
todor	cand_96060a5b0ff4	D2_S20260520171509_E20260520171843_anon	false
todor	cand_964687d9fa4a	D2_S20260520171509_E20260520171843_anon	false
todor	cand_98db4ec3f2d4	D2_S20260521135201_E20260521135601_anon	false
todor	cand_995b247a3517	D2_S20260521133647_E20260521134049_anon	false
todor	cand_9abf08830a7f	D2_S20260526185126_E20260526185806_anon	false
todor	cand_9ad529a363b3	D2_S20260522151152_E20260522151804_anon	false
todor	cand_9af42a80847c	D2_S20260520141725_E20260520142151_anon	false
todor	cand_9c4d74df93c7	D2_S20260523105657_E20260523110017_anon	false
todor	cand_a4989d0fb9a6	D2_S20260522151152_E20260522151804_anon	false
todor	cand_a4a7ae833a74	D2_S20260520171509_E20260520171843_anon	false
todor	cand_a50d4cd6c64c	D2_S20260520151119_E20260520151519_anon	false
todor	cand_a53ee792a420	D2_S20260520141725_E20260520142151_anon	false
todor	cand_a5b0d9df3b84	D2_S20260522151152_E20260522151804_anon	false
todor	cand_a600e37da146	D2_S20260521100509_E20260521100739_anon	false
todor	cand_a7414e913d1e	D2_S20260521140835_E20260521141129_anon	false
todor	cand_a89cacfa89f8	D2_S20260520141725_E20260520142151_anon	false
todor	cand_a9b578e667f1	D2_S20260522151152_E20260522151804_anon	false
todor	cand_a9d207c4cdae	D2_S20260520183617_E20260520183835_anon	false
todor	cand_aa58a2aed2bb	D2_S20260522151152_E20260522151804_anon	false
todor	cand_ab8ce8fb6b36	D2_S20260523082937_E20260523083139_anon	false
todor	cand_ac4e0125a82f	D2_S20260520135131_E20260520135549_anon	false
todor	cand_b00d05e8352c	D2_S20260526123358_E20260526123814_anon	false
todor	cand_b3706d57494e	D2_S20260520171509_E20260520171843_anon	false
todor	cand_b547ad63bddf	D2_S20260522151152_E20260522151804_anon	false
todor	cand_b99f11435497	D2_S20260521070815_E20260521071035_anon	false
lyubomir	cand_01c61e5c7fe1	D2_S20260520151119_E20260520151519_anon	true
lyubomir	cand_0662fd106600	D2_S20260523104347_E20260523104753_anon	true
lyubomir	cand_0718718fdc22	D2_S20260522151152_E20260522151804_anon	true
lyubomir	cand_0786ab5cf6c5	D2_S20260521112037_E20260521112553_anon	true
lyubomir	cand_0b5b1ea3711a	D2_S20260521140835_E20260521141129_anon	true
lyubomir	cand_c0c177ca490b	D2_S20260522181742_E20260522182146_anon	false
lyubomir	cand_c25905672695	D2_S20260520141725_E20260520142151_anon	false
lyubomir	cand_c51571bade94	D2_S20260526123358_E20260526123814_anon	false
lyubomir	cand_c56e62a9bf76	D2_S20260521112037_E20260521112553_anon	false
lyubomir	cand_c5eb2554e309	D2_S20260522132934_E20260522133448_anon	false
lyubomir	cand_c5f59119047e	D2_S20260521134451_E20260521134721_anon	false
lyubomir	cand_c6f0a6234619	D2_S20260526162956_E20260526163416_anon	false
lyubomir	cand_c858563eb446	D2_S20260526201348_E20260526201630_anon	false
lyubomir	cand_c89b67a6076f	D2_S20260522151810_E20260522152016_anon	false
lyubomir	cand_c92024c18e29	D2_S20260522132934_E20260522133448_anon	false
lyubomir	cand_c9c63e08733a	D2_S20260520143523_E20260520143803_anon	false
lyubomir	cand_ccb4b5f3e924	D2_S20260526123358_E20260526123814_anon	false
lyubomir	cand_cd1e4702dd1a	D2_S20260523101833_E20260523102129_anon	false
lyubomir	cand_d1456ebbd1b6	D2_S20260522181742_E20260522182146_anon	false
lyubomir	cand_d1aa00fd339d	D2_S20260520135131_E20260520135549_anon	false
lyubomir	cand_d5b54a58dcb0	D2_S20260522132934_E20260522133448_anon	false
lyubomir	cand_d8cb2ea884bf	D2_S20260520141725_E20260520142151_anon	false
lyubomir	cand_dc3839f52be8	D2_S20260522151152_E20260522151804_anon	false
lyubomir	cand_dc76b14fb6dd	D2_S20260523104347_E20260523104753_anon	false
lyubomir	cand_dc8a3f25e5ff	D2_S20260521225257_E20260521225547_anon	false
lyubomir	cand_ded98c8edef6	D2_S20260520171509_E20260520171843_anon	false
lyubomir	cand_dfb6d9771b47	D2_S20260526162956_E20260526163416_anon	false
lyubomir	cand_e43d83f5463c	D2_S20260523104347_E20260523104753_anon	false
lyubomir	cand_e54d23877b2a	D2_S20260526185126_E20260526185806_anon	false
lyubomir	cand_e6a2c25fbbfc	D2_S20260520141725_E20260520142151_anon	false
lyubomir	cand_ec4b81a316fa	D2_S20260522151152_E20260522151804_anon	false
lyubomir	cand_f0a772fba34a	D2_S20260520171509_E20260520171843_anon	false
lyubomir	cand_f1414c672790	D2_S20260522151152_E20260522151804_anon	false
lyubomir	cand_f18ae9e61cd2	D2_S20260523105427_E20260523105637_anon	false
lyubomir	cand_f2c9d233ad13	D2_S20260523105657_E20260523110017_anon	false
lyubomir	cand_f48b0407c4af	D2_S20260520141725_E20260520142151_anon	false
lyubomir	cand_facd15825024	D2_S20260521133647_E20260521134049_anon	false
lyubomir	cand_fc684acc0a05	D2_S20260522151152_E20260522151804_anon	false
lyubomir	cand_fd555de2d6f4	D2_S20260523105657_E20260523110017_anon	false
lyubomir	cand_fe2de5cc651f	D2_S20260526185126_E20260526185806_anon	false
